电影名称（中文）,电影名称（英文）,排名,年份,评分,导演,主要演员,类型,国家/地区,语言,时长,热门评论
美丽心灵,A Beautiful Mind,No.63,2001,9.0,朗·霍华德,罗素·克劳 / 艾德·哈里斯 / 詹妮弗·康纳利 / 克里斯托弗·普卢默 / 保罗·贝坦尼 / 亚当·戈德堡 / 乔什·卢卡斯 / 安东尼·拉普 / 贾森·加里-斯坦福德 / 贾德·赫希 / 奥斯汀·潘德尔顿 / 薇薇·卡登尼 / 吉莉·西蒙 / 维克多·斯坦巴赫 / 坦娅·克拉克 / 罗伊·辛尼斯 / 谢丽尔·霍华德 / 兰斯·霍华德 / 简·詹金斯 / 乔什·帕斯 / 瓦伦蒂娜·卡迪纳利 / 蒂格尔·F·伯格里 / 迈克尔·埃斯佩尔 / 艾米·瓦尔兹 / 小艾德.朱普 / 卡拉·奥奇格罗索 / 斯特里奥·萨万特 / 迈克尔·阿伯特 / 雷吉·奥斯汀 / 凯德·比特纳 / 理查·布莱恩特 / 丹·陈 / 乔纳·福尔肯 / 法布里奇奥·范特 / 斯科特·费恩斯特罗姆 / 迈克尔·菲奥里 / 塞斯·盖贝尔 / 埃文·哈特 / 杰森·霍顿 / 布莱丝·达拉斯·霍华德 / 朗·霍华德 / 多里·曼佐尔 / 罗伯特·迈尔斯 / 里德·彭尼 / 米尔斯·彼埃尔 / 肖恩·里德,剧情/传记, 美国, 英语,135分钟,"我觉得你很有魅力, 你对我的主动性说明你对我有同感。尽管如此，传统的信任仍然需要我们在做爱之前进行数多次柏拉图式恋爱。我正在往这方面发展，但事实说来，我真正想做的只是尽快和你XXXX。"
谍影重重3,The Bourne Ultimatum,No.165,2007,8.8,保罗·格林格拉斯,马特·达蒙 / 朱丽娅·斯蒂尔斯 / 大卫·斯特雷泽恩 / 斯科特·格伦 / 帕迪·康斯戴恩 / 埃德加·拉米雷兹 / 阿尔伯特·芬尼 / 琼·艾伦 / Tom Gallop / 克里·约翰逊 / 丹尼尔·布鲁赫 / 乔伊·安沙 / 科林·斯廷顿 / 丹·弗雷登堡 / Lucy Liemann,动作/悬疑/惊悚, 美国 / 德国, 英语 / 法语 / 阿拉伯语 / 俄语 / 西班牙语,115分钟,紧凑、凌厉，史上最佳间谍动作片。
忠犬八公物语,ハチ公物語,No.175,1987,9.2,神山征二郎,山本圭 / 井川比佐志 / 片桐入 / 仲代达矢 / 春川真澄 / 八千草薰 / 石野真子 / 殿山泰司 / 加藤嘉 / 石仓三郎 / 泉谷茂 / 柳叶敏郎,剧情, 日本, 日语,107 分钟,"八公的""原味""还是在日版，教授去世后与之相关的人们对八公的薄凉，在它始一而终的热诚面前抬不起眼。
片尾的长镜头中，始终无人关照这位""人类的朋友""的死亡。似乎是一种讽刺，人弃忠友而去，却等待它们用生命为人类守灵。
除了教授，没人担得起这份守候。"
哈利·波特与密室,Harry Potter and the Chamber of Secrets,No.116,2002,8.8,克里斯·哥伦布,丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特 / 汤姆·费尔顿 / 理查德·格雷弗斯 / 费奥纳·肖 / 托比·琼斯 / 朱丽·沃特斯 / 邦妮·怀特 / 詹森·艾萨克 / 肯尼思·布拉纳 / 艾伦·瑞克曼 / 理查德·哈里斯 / 玛吉·史密斯 / 约翰·克里斯 / 肖恩·比格斯代夫 / 克里斯·兰金 / 克里斯蒂安·库尔森,奇幻/冒险, 英国 / 美国, 英语,161分钟,如果一直能由哥伦布导演，那哈迷该多幸福啊...
聚焦,Spotlight,No.245,2015,8.8,汤姆·麦卡锡,马克·鲁弗洛 / 迈克尔·基顿 / 瑞秋·麦克亚当斯 / 列维·施瑞博尔 / 约翰·斯拉特里 / 布莱恩·达西·詹姆斯 / 斯坦利·图齐 / 比利·克鲁德普 / 保罗·吉尔福伊尔 / 杰米·谢尔丹 / 兰·卡琉 / 尼尔·哈夫 / 迈克尔·西里尔·克赖顿 / 迈克尔·康特里曼,剧情/传记, 美国, 英语,128分钟,唯冷峻克制的表达，更具“于无声处听惊雷”的震撼效果。
小丑,Joker,No.230,2019,8.7,托德·菲利普斯,华金·菲尼克斯 / 罗伯特·德尼罗 / 马克·马龙 / 莎姬·贝兹 / 谢伊·惠格姆 / 弗兰西丝·康罗伊 / 布莱恩·考伦 / 布莱恩·泰里·亨利 / 布莱特·卡伦 / 道格拉斯·霍奇斯 / 格伦·弗莱舍尔 / 比尔·坎普 / 乔什·帕斯 / 但丁·佩雷拉-奥尔森 / 玛丽·凯特·马拉特 / 迈克尔·本茨 / 莎珑·华盛顿 / 桑德拉·詹姆斯 / 托尼·赫德 / 曼德拉·贝拉米 / 乔·奥克曼 / 卡尔·伦德施泰特 / 米克·奥罗克 / 大卫·吉布森 / 伊万·罗萨多 / 安妮·比萨比亚 / 布莱斯·科里根 / 乔恩·道格拉斯·雷尼 / 艾恩斯利·丹恩 / 杰森·约翰·奇卡莱塞,剧情/惊悚/犯罪, 美国 / 加拿大, 英语,122分钟,4.5 在《黑暗骑士》公映的十一年后，终于有一部能与之相提并论的同类电影了。扭曲，震撼，一次进入深渊本体的角色研究，一场庆祝疯狂和悲剧的黑暗大狂欢。凤凰的表演是碾压式的，奖项根本hold不住。
真爱至上,Love Actually,No.179,2003,8.6,理查德·柯蒂斯,休·格兰特 / 科林·费尔斯 / 艾玛·汤普森 / 凯拉·奈特莉 / 连姆·尼森 / 托马斯·布罗迪-桑斯特 / 比尔·奈伊 / 马丁·弗瑞曼 / 劳拉·琳妮 / 艾伦·瑞克曼 / 克里斯·马歇尔 / 罗德里戈·桑托罗 / 罗温·艾金森 / 比利·鲍伯·松顿 / 玛汀·麦古基安 / 安德鲁·林肯 / 露西娅·莫尼斯 / 海克·玛卡琪,剧情/喜剧/爱情, 英国 / 美国 / 法国, 英语 / 葡萄牙语 / 法语,135分钟,1、每当我对世局倍感忧虑时，就会想到希思罗机场的入境闸口。人们认为世界充满仇恨与贪婪，但我却不同意。在我看来爱无处不在，虽然未必来的轰轰烈烈，但是爱永远存在。父子，母女，夫妻，男朋友，女朋友，老朋友，当飞机撞上世贸大厦时，临终打出的电话，谈的不是报复，而都是爱。如果你肯留意，你会发现爱其实无处不在。love actually is all around.
被解救的姜戈,Django Unchained,No.145,2012,8.8,昆汀·塔伦蒂诺,杰米·福克斯 / 莱昂纳多·迪卡普里奥 / 克里斯托弗·瓦尔兹 / 塞缪尔·杰克逊 / 凯丽·华盛顿 / 沃尔顿·戈金斯 / 丹尼斯·克里斯托弗 / 乔纳·希尔 / 詹姆斯·瑞马尔 / 爱波·塔布琳 / 弗兰科·内罗 / 罗伯特·卡拉丁 / 佐伊·贝尔,剧情/动作/西部/冒险, 美国, 英语 / 法语 / 德语,163分钟(中国大陆),零，有一种类型片，叫昆丁；一，昆丁只拍这种片，但只有昆丁拍这种片；二，此片没那么完美，但已比无耻混蛋用心很多；三，昆丁可能永远再达不到低俗小说的高度，但本作足以革新西部片；四，南方口音蛋疼，有些笑点没听懂，以后我得看中文字幕版；五，原谅我用那么多分号，cuz Ima goddamn programmer.
疯狂的麦克斯4：狂暴之路,Mad Max: Fury Road,No.217,2015,8.6,乔治·米勒,汤姆·哈迪 / 查理兹·塞隆 / 尼古拉斯·霍尔特 / 休·基斯-拜恩 / 乔什·赫尔曼 / 内森·琼斯 / 佐伊·克罗维兹 / 罗茜·汉丁顿-惠特莉 / 丽莉·吉欧 / 阿比·丽 / 考特尼·伊顿 / 安格斯·桑普森 / 理查德·卡特 / 梅根·盖尔 / 肖恩·哈普,动作/科幻/冒险, 澳大利亚 / 美国, 英语 / 俄语,120分钟,近年来最具作者性最有风格的好莱坞动作片，且完成度极高，其存在堪称奇迹。单是前30分钟就已经嗨翻天，风暴戏的配乐简直神来之笔！邪典味的疯劲贯穿全片，文戏少没废话直接爽，如此雄性的动作电影竟然没有直男癌反而讲了一个女权觉醒的故事，片中每一个女性角色都实现了自我价值。PS：电吉他碉堡了！
无敌破坏王,Wreck-It Ralph,No.185,2012,8.7,瑞奇·摩尔,约翰·C·赖利 / 萨拉·西尔弗曼 / 杰克·麦克布瑞尔 / 简·林奇 / 艾伦·图代克 / 敏迪·卡灵 / 乔·洛·特鲁格里奥 / 艾德·奥尼尔 / 丹尼斯·海斯伯特 / 伊迪·麦克勒格 / 雷蒙德·S·佩尔西 / 杰斯·哈梅尔 / 瑞秋·哈里斯 / 斯盖拉·阿斯丁 / 亚当·卡罗拉 / 霍拉提奥·桑斯 / 莫里斯·拉马奇 / 斯戴芬妮·斯考特 / 约翰·迪·马吉欧 / 瑞奇·摩尔 / 凯蒂·洛斯 / 贾米·埃曼 / 乔西·特立尼达 / 辛贝·沃克 / 塔克·吉莫尔 / 布兰登·斯考特 / 蒂姆·梅尔滕斯 / 凯文·迪特斯 / 杰洛·里佛斯 / 马丁·贾维斯 / 布莱恩·克辛格 / 罗杰·克莱格·史密斯 / 菲尔·约翰斯顿 / 鲁本·兰登 / 凯尔·赫伯特 / 洁米·斯贝勒·罗伯茨 / 尼克·格里姆肖,喜剧/动画/奇幻/冒险, 美国, 英语,101分钟,即便今年的动画电影整体水平偏低，也不至于把这样一部作品推上神坛。
茶馆, ,No.218,1982,9.5,谢添,于是之 / 郑榕 / 蓝天野 / 英若诚 / 黄宗洛 / 童超 / 金昭 / 林连昆 / 牛星丽 / 谭宗尧 / 童弟 / 吴淑昆 / 胡宗温 / 程中 / 李大千 / 李源 / 李翔 / 张瞳 / 任宝贤 / 尚丽娟 / 米铁增 / 田春奎 / 冯增祥 / 雷飞 / 林东升 / 孟瑾 / 孙峻峰 / 平原 / 曹世骧 / 王大年 / 王淑华 / 张华 / 丁海涛 / 朱旭 / 孙敬修 / 曹孟浪 / 何康理,剧情/历史, 中国大陆, 北京话,118分钟,"芸芸众生，人间百态。
经典台词：我爱咱们的国呀，可是谁爱我。"
人工智能,Artificial Intelligence: AI,No.201,2001,8.7,史蒂文·斯皮尔伯格,海利·乔·奥斯蒙 / 弗兰西丝·奥康纳 / 山姆·洛巴兹 / 杰克·托马斯 / 裘德·洛 / 威廉·赫特 / 肯·梁 / 克拉克·格雷格 / 凯文·苏斯曼 / 汤姆·加洛普 / 尤金·奥斯门特 / 艾普尔·格雷斯 / 马特·温斯顿 / 萨布丽娜·格德维奇 / 西奥·格林利,剧情/科幻, 美国 / 英国, 英语,146分钟,大卫固然可怜，可小熊比他可怜。每一个都渴望家人的爱，可惜小熊在所有人眼中都只是玩具，包括大卫。虽然他有和大卫一样的思维，却没有和大卫一样的外貌。
七武士,七人の侍,No.151,1954,9.3,黑泽明,三船敏郎 / 志村乔 / 津岛惠子 / 岛崎雪子 / 藤原釜足 / 加东大介 / 木村功 / 千秋实 / 宫口精二 / 小杉义男 / 左卜全 / 稻叶义男 / 土屋嘉男 / 高堂国典 / 东野英治郎 / 上田吉二郎 / 多多良纯 / 渡边笃 / 小川虎之助 / 山形勋 / 上山草人 / 清水元 / 高木新平 / 大友伸 / 高原骏雄 / 稻垣三郎 / 堺左千夫 / 千石规子 / 本间文子 / 大久保正信 / 伊藤实 / 大村千吉 / 广濑正一 / 宇野晃司 / 谷晃 / 中岛春雄 / 清水美恵 / 熊谷卓三 / 夏木顺平 / 岩本弘司 / 堤康久 / 马野都留子 / 森今日子 / 加藤武 / 仲代达矢 / 宇津井健 / 山本廉,剧情/动作/冒险, 日本, 日语,207分钟,我只能用”高山仰止”四字来形容我对黑泽天皇这部旷世杰作的仰慕之情；纷繁庞杂却又条理清晰的史诗，严苛而精准的镜头和构图，七个武士和若干农民的性格都被描绘得入木三分， “休憩”后的大决战无比恢弘，叹为观止。
雨人,Rain Man,No.192,1988,8.7,巴瑞·莱文森,达斯汀·霍夫曼 / 汤姆·克鲁斯 / 瓦莱丽亚·戈利诺 / 邦尼·亨特 / 贝丝·格兰特 / 杰克·霍夫曼 / 克里斯·马尔基 / 杰拉尔德·R·莫伦 / 卢辛达·珍妮 / 拉尔夫·塞莫 / 迈克尔·D·罗伯茨 / 罗伊斯·D.阿普勒加特 / 路易莎·莱斯金,剧情, 美国, 英语 / 意大利语,133分钟,我可不可以把它看成一部公路片，某种程度。
黑客帝国2：重装上阵,The Matrix Reloaded,No.226,2003,8.6,拉娜·沃卓斯基 / 莉莉·沃卓斯基,基努·里维斯 / 劳伦斯·菲什伯恩 / 凯瑞-安·莫斯 / 雨果·维文 / 莫妮卡·贝鲁奇 / 赫尔穆特·巴凯蒂斯 / 斯蒂夫·巴什托尼 / 克里斯汀·阿努 / 丹尼尔·伯哈特 / 约瑟芬·白内斯 / 安迪·阿尼斯 / 贾达·萍克·史密斯 / 邹兆龙 / 埃茜·戴维斯 / 纳许·埃哲顿 / 格洛丽亚·福斯特 / 大卫·富兰克林 / 诺娜·加耶 / 小罗伊·琼斯 / 大卫·基尔德 / 兰德尔·杜克·金 / 克里斯托弗·卡比 / 纳撒尼尔·利斯 / 哈里·列尼斯 / 罗伯特·马莫内 / 马特·麦科姆 / 罗宾·奈文 / 大卫·诺 / 吉娜薇·欧瑞丽 / 苏格拉底·奥图 / 哈罗德·佩里诺 / 阿德里安·雷梅特 / 尼尔·雷梅特 / 鲁伯特·雷德 / 大卫·罗伯茨 / 凯文·斯科特 / 尼坎德罗·托马斯 / 吉娜·托瑞斯 / 史蒂夫·维拉 / 克莱顿·华生 / 康奈尔·韦斯特 / 雷·沃纳尔 / 伯纳德·怀特 / 朗贝尔·维尔森 / 安东尼·布兰登·黄 / 安东尼·泽比,动作/科幻, 美国, 英语 / 法语,138分钟,剧情都在后20分钟，前面一大段都在不停地打打打打打打打，每一段打斗剧情结束我都会想不起来他们怎么会打到一起去的……
幸福终点站,The Terminal,No.129,2004,8.8,史蒂文·斯皮尔伯格,汤姆·汉克斯 / 凯瑟琳·泽塔-琼斯 / 斯坦利·图齐 / 齐·麦克布赖德 / 迭戈·卢纳 / 巴里·沙巴卡·亨利 / 库玛·帕拉纳 / 佐伊·索尔达娜 / 埃迪·琼斯 / 祖德·塞克利拉 / 科瑞·雷诺兹 / 古列雷莫·迪亚兹 / 里尼·贝尔 / 瓦列里·尼古拉耶夫 / 迈克尔·诺里 / 鲍勃·莫里西 / 萨沙·斯皮尔伯格 / 苏珊·索洛米 / 卡尔利斯·布克 / 斯蒂芬·富勒 / 丹·芬纳蒂 / Lydia Blanco / 肯尼斯·崔 / 卡斯·安瓦尔 / 康拉德·皮拉 / 杜桑恩·杜基齐 / 马克·伊瓦涅 / Benny Golson / 斯科特·安第斯 / 罗伯特·科瓦吕比亚 / Dilva Henry / 卡尔艾拉切 / 哈亚提·阿克巴斯 / 艾力克斯·伯恩斯 / 埃莱娜·卡多纳 / Dan Chase / 查得·R·戴维斯 / Antonella Elia / Michael Eliopoulos / Marston Fobbs / Riad Galayini / 杰拉德·加纳 / 贾斯汀·罗杰斯豪尔 / Mohammed Hassan / Amber Havens / Ksenia Jarova / 巴里·朱利安 / Svilena Kidess / Zuzana Monroe / 艾丽西亚·奥奇瑟 / 本杰明·奥切恩格,剧情/喜剧/爱情, 美国, 英语 / 保加利亚语 / 西班牙语 / 俄语 / 汉语普通话 / 德语 / 法语,128分钟,人不可妄自菲薄，人应当勇敢、坚强、坚定、乐观、积极、向上的活着。
教父2,The Godfather: Part Ⅱ,No.56,1974,9.2,弗朗西斯·福特·科波拉,阿尔·帕西诺 / 罗伯特·杜瓦尔 / 黛安·基顿 / 罗伯特·德尼罗 / 约翰·凯泽尔 / 塔莉娅·夏尔 / 李·斯特拉斯伯格 / 迈克尔·V·格佐 / G•D•斯普拉德林 / 理查德·布赖特 / 加斯通·莫辛 / 汤姆·罗斯奎 / 布鲁诺·柯比 / 弗兰克·西维罗 / 弗朗西丝卡·德·萨维奥 / 摩甘娜金 / 玛丽亚娜·希尔 / 莱奥波多·特里耶斯泰 / 多米尼克·查尼斯 / Amerigo Tot / 特洛伊·多纳胡 / 约翰·阿普雷亚 / 乔·斯皮内尔 / 阿贝·维高达 / 吉亚尼·罗素 / Maria Carta / 菲伊·斯潘 / 哈利·戴恩·斯坦通 / 卡明·卡里迪 / 丹尼·爱罗 / 威廉·鲍尔斯 / 约瑟夫·德拉·索尔特 / 卡门·阿尔根齐亚诺 / 乔·罗·格里普 / Ezio Flagello / 凯瑟琳·贝勒 / Saveria Mazzola / Tito Alba / 彼得·多纳特 / 汤姆·达尔格伦 / Phil Feldman / 罗杰·科曼 / 伊凡·科尔 / 艾丽卡·约恩 / Teresa Tirelli / 詹姆斯·肯恩 / Italia Coppola / 罗曼·科波拉 / 索菲亚·科波拉 / 朱莉·格雷格 / George Holmes / Buck Houghton / Shep Houghton / 小杉正一 / 加里·库尔茨 / Laura Lyons / 理查德·麦瑟森 / 约翰·梅根纳 / Harrison Ressler / Al Roberts / Hank Robinson / Filomena Spagnuolo,剧情/犯罪, 美国, 英语 / 意大利语 / 西班牙语 / 拉丁语 / 西西里语,202分钟,帕西诺太帅了~
波西米亚狂想曲,Bohemian Rhapsody,No.220,2018,8.7,布莱恩·辛格,拉米·马雷克 / 本·哈迪 / 约瑟夫·梅泽罗 / 格威利姆·李 / 艾伦·里奇 / 露西·宝通 / 艾丹·吉伦 / 汤姆·霍兰德 / 麦克·梅尔斯 / 阿隆·麦克卡斯克 / 梅内卡·达斯 / 迪基·博 / 蒂姆· 普莱斯特 / 杰克·罗思 / 马克斯·班内特 / 基兰·哈德卡斯托 / 罗斯·格林 / 布鲁斯·麦克金伦 / 米歇尔·邓肯 / 马特·格林伍德 / 罗茜·本杰明 / 约翰·奥特曼 / 詹姆斯·华莱士 / 文森特·阿德里安 / 拉斯科·阿特金斯 / 乔纳森·奇塔姆 / 迈克尔·科布 / 耶稣·加洛 / 亚当·兰伯特 / 豪尔赫·莱昂·马丁内斯 / 杰森· 莱恩斯 / 伊斯雷尔·鲁兹,剧情/同性/音乐/传记, 英国 / 美国, 英语,135分钟,Rami Malek该拿个奥斯卡提名了，台风简直神还原。最后Live Aid拍出了那么点伟大的范儿，我特意去油管看了原视频，电影这段还原得原汁原味，高空航拍越过人山人海的观众，然后镜头直接连到主舞台钢琴下对Freddie的特写，这个合成长镜头实在太酷了！万众瞩目，集全宇宙之光于一身的感觉；开头唱到Life had just begun就开始泪崩，结合他之前跟乐队成员说出自己得了艾滋，再看Bohem...Rami Malek该拿个奥斯卡提名了，台风简直神还原。最后Live Aid拍出了那么点伟大的范儿，我特意去油管看了原视频，电影这段还原得原汁原味，高空航拍越过人山人海的观众，然后镜头直接连到主舞台钢琴下对Freddie的特写，这个合成长镜头实在太酷了！万众瞩目，集全宇宙之光于一身的感觉；开头唱到Life had just begun就开始泪崩，结合他之前跟乐队成员说出自己得了艾滋，再看Bohemian Rhapsody的歌词，感觉每一句都是重磅催泪弹，于是才明白为啥这部传记片要用这首歌名当电影名；Live Aid上演出的每分每秒，都是Freddie燃烧生命的表演，这是他传奇人生的伟大谢幕。()
绿皮书,Green Book,No.61,2018,8.9,彼得·法雷里,维果·莫腾森 / 马赫沙拉·阿里 / 琳达·卡德里尼 / 塞巴斯蒂安·马尼斯科 / 迪米特·D·马里诺夫 / 迈克·哈顿 / P·J·伯恩 / 乔·柯蒂斯 / 玛姬·尼克松 / 冯·刘易斯 / 乔恩·索特兰 / 唐·斯达克 / 安东尼·曼加诺 / 保罗·斯隆 / 珍娜·劳伦索 / 肯尼斯·以色列 / 伊克博·塞巴 / 尼克·瓦莱隆加 / 大卫·安 / 迈克·切罗内 / 杰拉尔丁·辛格 / 马丁·巴特斯·布拉德福德 / 格拉伦·布莱恩特·班克斯 / 汤姆·维图 / 夏恩·帕特洛 / 丹尼斯·W·霍尔 / 吉姆·克洛克 / 戴恩·罗兹 / 布赖恩·斯特帕尼克 / 乔恩·迈克尔·戴维斯 / 布莱恩·库瑞 / 托尼亚·马尔多纳多,剧情/喜剧/音乐/传记, 美国 / 中国大陆, 英语 / 意大利语 / 俄语 / 德语,130分钟,肯德基年度推广大电影
小偷家族,万引き家族,No.183,2018,8.7,是枝裕和,中川雅也 / 安藤樱 / 松冈茉优 / 城桧吏 / 佐佐木美结 / 树木希林 / 绪形直人 / 池松壮亮 / 森口瑶子 / 山田裕贵 / 片山萌美 / 柄本明 / 高良健吾 / 池胁千鹤 / 足立智充,剧情/家庭/犯罪, 日本, 日语,117分钟(中国大陆),我很努力试图去同情人物，还是没法同情他们。情节很cheap，直白生硬，全片无一处情感发自创作者肺腑。可恨之人有可怜之处，如果可恨可怜都写得不充分，人物怎么立得住呢？是枝裕和最近作品太多，应该好好休息积累一下，一年三熟的水稻再好吃也比不上一年一熟的。
再次出发之纽约遇见你,Begin Again,No.240,2013,8.6,约翰·卡尼,凯拉·奈特莉 / 马克·鲁弗洛 / 亚当·莱文 / 詹姆斯·柯登 / 海莉·斯坦菲尔德 / 凯瑟琳·基纳 / 茅斯·达夫 / 罗伯·莫洛 / 伊恩·布罗茨基 / 香农·沃尔什 / 大卫·埃伯利斯 / 马科·阿桑特 / 玛丽·凯瑟琳·歌瑞森 / 詹·雅各布 / 席洛·格林 / 詹妮弗·李·杰克逊 / 特里·刘易斯 / 吉米·帕伦博 / 西蒙·德兰尼 / 丹妮尔·布里瑟布瓦 / 基恩·鲁弗洛 / 尼古拉斯·丹尼尔·冈萨雷斯 / 麦迪·科尔曼 / 阿雅·卡什 / 大卫·彭德尔顿 / 保罗·罗梅罗 / 安德鲁·塞伦 / 凯伦·皮特曼 / 罗恩·沃斯,喜剧/爱情/音乐, 美国, 英语,104分钟,“我之所以爱音乐，是因为它让每一个平凡的瞬间，都充满了意义。生活里的很多细节，因为有了音乐而变成闪亮的珍珠” 8年后再续《曾经》，没有狗血的大情小爱，所有故事就跟每个人的普通日常一样，平淡自然，水到渠成，不拘谨，也不奢望，他们单纯因为音乐而在一起。
拯救大兵瑞恩,Saving Private Ryan,No.72,1998,9.0,史蒂文·斯皮尔伯格,汤姆·汉克斯 / 汤姆·塞兹摩尔 / 爱德华·伯恩斯 / 巴里·佩珀 / 亚当·戈德堡 / 范·迪塞尔 / 吉奥瓦尼·瑞比西 / 杰瑞米·戴维斯 / 马特·达蒙 / 特德·丹森 / 保罗·吉亚玛提 / 丹尼斯·法里纳 / 马克斯·马蒂尼 / 丹兰·布鲁诺 / 丹尼尔·切尔奎拉 / 迪米特里·格里特萨斯 / 史蒂夫·格里芬 / 彼得·迈尔斯 / 亚当·肖 / 罗尔夫·萨克森 / 克里·约翰逊 / 洛克兰·艾肯 / 尚恩·约翰逊 / 莱尔德·曼辛托斯 / 安德鲁·斯科特 / 马修·夏普 / 文森特·沃尔什 / 约翰·沙拉恩 / 马丁·哈伯 / 罗非洛·迪格托勒 / 恩里奇·雷德曼 / 米歇尔·埃文斯 / 内森·菲利安 / 利兰·奥瑟 / 大卫·维格 / 瑞恩·赫斯特 / 哈威·普雷斯内尔 / 代尔·戴 / 布莱恩·科兰斯顿 / 大卫·沃尔 / 埃里克·罗兰 / 哈里逊·杨 / 凯思琳·拜荣 / 约翰·德·兰西 / 詹姆斯·恩布里 / 德里克·李 / 若昂·科斯塔·梅内塞斯 / 马克·施泰因迈尔,剧情/战争, 美国, 英语 / 法语 / 德语 / 捷克语,169分钟,为什么看中国战争片就感觉high得不行真想打一仗，看外国战争片就觉得战争真可怕和平多好啊。。。。再不在吃饭的时候看战争片了，太胸闷了。
哈利·波特与火焰杯,Harry Potter and the Goblet of Fire,No.154,2005,8.7,迈克·内威尔,丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特 / 迈克尔·刚本 / 玛吉·史密斯 / 汤姆·费尔顿 / 蒂莫西·斯波 / 罗伯特·帕丁森 / 梁佩诗 / 大卫·田纳特 / 马克·威廉姆斯 / 埃里克·赛克斯 / 詹姆斯·菲尔普斯 / 奥利弗·菲尔普斯 / 邦妮·怀特 / 克蕾曼丝·波西 / 加里·奥德曼 / 杰夫·劳勒 / 詹森·艾萨克 / 斯坦尼斯拉夫·雅涅夫斯基 / 罗伯特·哈迪 / 阿什莉·阿尔图斯 / 亚历克斯·帕尔墨 / 罗格·洛伊德-派克 / 希拉·艾伦 / Su Elliot / 大卫·斯特恩 / 玛格里·梅森 / 马修·刘易斯 / 罗彼·考特拉尼 / 威廉姆·麦灵 / 大卫·布拉德利 / 戴文·穆雷 / 艾芙珊·阿扎德 / 沃维克·戴维斯 / 弗朗西斯·德·拉·图瓦 / 谢发丽·裘德胡里 / 安吉拉珂·曼蒂 / 艾伦·瑞克曼 / 普里德拉格·比耶拉克 / Tolga Safer / 布莱丹·格里森 / 阿尔弗雷德·伊诺奇 / 路易·多伊尔 / 杰米·威莱特 / 乔什·赫德曼 / 夏洛特·斯凯奇 / 米兰达·理查森 / 罗伯特·威尔福特 / Tiana Benjamin / 亨利·劳埃德-休斯 / 贾维斯·考科尔 / 强尼·格林伍德 / 菲尔·塞尔维 / 史蒂夫·麦基 / Jason Buckle / Steve Claydon / 雪莉·亨德森 / 拉尔夫·费因斯 / 阿德里安·劳林斯 / 杰拉丁·萨莫维尔 / 拉斯科·阿特金斯 / Jack Bagley / 葛蕾·贝拉玛西娜 / Paul Davies / Barry Dowden / Natalie Hallam,悬疑/奇幻/冒险, 英国 / 美国, 英语 / 法语,157 分钟,不管是书还是电影，火焰杯都是最好看的
魂断蓝桥,Waterloo Bridge,No.219,1940,8.8,茂文·勒鲁瓦,费雯·丽 / 罗伯特·泰勒 / 露塞尔·沃特森 / 弗吉尼亚·菲尔德 / 玛丽亚·彭斯卡娅 / C.奥布雷·史密斯 / Janet Shaw / Janet Waldo / Steffi Duna / Virginia Carroll / Eleanor Stewart / Lowden Adams / Harry Allen / Jimmy Aubrey / Phyllis Barry / Colin Campbell / 丽塔·卡莱尔 / 里奥.G.卡罗尔 / 戴维·卡文迪什 / 大卫·克莱德 / 汤姆·康威 / Frank Dawson / Connie Emerald / Gilbert Emery / 赫伯特·埃文斯 / 迪克·戈登 / Denis Green / 艾塞尔·格里菲斯 / Bobby Hale / Winifred Harris / 哈利韦尔·霍布斯 / Harold Howard / Charles Irwin / George Kirby / Walter Lawrence / 威尔弗雷德·卢卡斯 / Dan Maxwell / James May / Florine McKinney / Charles McNaughton / Frank Mitchell / 埃德蒙·莫蒂默 / 伦纳德米迪 / 坦普·皮戈特 / John Power / Clara Reid / Paul Scardon / 约翰·格雷厄姆·斯佩西 / Wyndham Standing / 哈里·斯塔布斯 / Cyril Thornton / 戴维·瑟斯比 / 诺玛·威登 / 帕特·威尔士 / 玛莎·温特沃思 / Frank Whitbeck / Eric Wilton / 罗伯特·温克勒 / 道格拉斯·伍德,剧情/爱情/战争, 美国, 英语 / 法语,108分钟,真爱不是订婚之后隔天就跑去打仗再无音信，真爱是一起去车站揽活儿。Kitty才是真爱Myra。
黑天鹅,Black Swan,No.187,2010,8.6,达伦·阿伦诺夫斯基,娜塔莉·波特曼 / 米拉·库尼斯 / 文森特·卡索 / 芭芭拉·赫希 / 薇诺娜·瑞德 / 本杰明·米派德 / 克塞尼亚·索罗 / 克里斯汀娜·安娜波 / 詹妮特·蒙哥马利 / 塞巴斯蒂安·斯坦 / 托比·海明威 / 塞尔吉奥·托拉多 / 马克·马戈利斯 / 蒂娜·斯隆 / 亚伯拉罕·阿罗诺夫斯基 / 夏洛特·阿罗诺夫斯基 / 玛西娅·让·库尔茨 / 肖恩·奥哈根 / 克里斯托弗·加廷 / 黛博拉·奥夫纳 / 斯坦利·B·赫尔曼 / 库尔特·弗勒曼 / 帕特里克·赫辛格 / 莎拉·海伊,剧情/惊悚, 美国, 英语 / 法语 / 意大利语,108分钟,舞台上那段黑天鹅太惊艳了！！！！！！Natalie这牛逼演技！！！！！！
