电影名称（中文）,电影名称（英文）,排名,年份,评分,导演,主要演员,类型,国家/地区,语言,时长,热门评论
青蛇, ,No.214,1993,8.6,徐克,张曼玉 / 王祖贤 / 赵文卓 / 吴兴国 / 马精武 / 田丰 / 刘洵,剧情/爱情/奇幻/古装, 中国香港 / 中国大陆, 粤语 / 汉语普通话,99分钟,张国荣当年若愿意出演许仙的话此片会更美，但曼玉和祖贤姐姐已足够妖冶天仙，赵文卓的法海也更是傲世独立，吴兴国的许仙——猥琐男一个。全片的音乐美不胜收，飘飘欲仙，欲仙欲死，配乐和画面都极为出色。
模仿游戏,The Imitation Game,No.157,2014,8.7,莫滕·泰杜姆,本尼迪克特·康伯巴奇 / 凯拉·奈特莉 / 马修·古迪 / 罗里·金尼尔 / 艾伦·里奇 / 马修·比尔德 / 查尔斯·丹斯 / 马克·斯特朗 / 詹姆斯·诺斯科特 / 汤姆·古德曼-希尔 / 史蒂芬·威丁顿 / 伊兰·古德曼 / 杰克·塔尔登 / 埃里克斯·劳瑟 / 杰克·巴农 / 塔彭丝·米德尔顿 / 安德鲁·哈维尔 / 维尔·博登 / 李·阿斯奎斯-柯 / 海莉·乔安妮·培根 / 安库塔·布雷班 / 格雷斯·卡尔德 / 理查德·坎贝尔 / 温斯顿·丘吉尔 / 克里斯·考林 / 汉娜·弗林 / 阿道夫·希特勒 Adolf Hitler / 卢克·霍普 / 斯图尔特·马修斯 / 亚当·诺威尔 / 哈里·S·杜鲁门,剧情/同性/传记/战争, 英国 / 美国, 英语 / 德语,114分钟,他给机器起名“克里斯托弗”，因为这是他初恋的名字；他同意接受化学阉割，因为这样政府才不会把它带走：这大概是今年大银幕上最含蓄和悲伤的一段同性恋情了。全世界的恐同者都该知道，他们用来敲出每个仇恨字眼的电脑在很多年前曾有一个名字——“克里斯托弗”。
风之谷,風の谷のナウシカ,No.163,1984,8.9,宫崎骏,岛本须美 / 松田洋治 / 榊原良子 / 辻村真人 / 京田尚子 / 纳谷悟朗 / 永井一郎 / 宫内幸平 / 八奈见乘儿 / 矢田稔 / 富永美伊奈 / 家弓家正 / 吉田理保子 / 菅谷政子 / 坂本千夏 / 鳕子 / 麦人 / 大塚芳忠,动画/奇幻/冒险, 日本, 日语,117分钟,宫崎骏的起点如此之高。略有烂尾之嫌，世界观、画风、情节都很赞。可以看看其中的运动镜头，尤其是对飞行的表现。这个主题之前手冢治虫讨论过。另外久石让的配乐怎么听得那么耳熟，这一部好像《花火》……
爱乐之城,La La Land,No.239,2016,8.4,达米恩·查泽雷,瑞恩·高斯林 / 艾玛·斯通 / 约翰·传奇 / 罗丝玛丽·德薇特 / 芬·维特洛克 / 杰西卡·罗德 / 水野索诺娅 / 考莉·埃尔南德斯 / J·K·西蒙斯 / 汤姆·艾弗瑞特·斯科特 / 米根·费伊 / 达蒙·冈普顿 / 贾森·福克斯 / 乔什·平茨 / 艾米·科恩 / 特里·沃尔特斯 / 汤姆·谢尔顿 / 信达·亚当斯 / 克劳丁·克劳迪奥 / D·A·瓦拉赫 / 特雷弗·里斯奥尔 / 奥莉维亚·汉密尔顿 / 安娜·查泽雷 / 马里乌斯·代·弗里斯 / 妮科尔·库隆 / 迈尔斯·安德森 / 约翰·辛德曼 / 瓦拉里·雷·米勒 / 基夫·范登·霍伊维尔 / 佐伊·霍尔 / 登普西·帕皮恩 / 辛德拉·车,剧情/爱情/歌舞, 美国, 英语,128分钟,这部电影有多好呢？想象这样一个场景：二十年后的一个傍晚，你开着车(或者车载着你)在回家的路上，突然扬声器里开始放起这首电影里的旋律，听到第一个音符的一瞬间，所有的情绪全都涌上来，就好像二十年前的那个夜晚你第一次听到它们的时候那样。
罗马假日,Roman Holiday,No.49,1953,9.1,威廉·惠勒,奥黛丽·赫本 / 格利高里·派克 / 埃迪·艾伯特 / 哈特利·鲍尔 / 哈考特·威廉姆斯 / 玛格丽特·罗林斯 / 托里奥·卡米纳提 / 保罗·卡利尼 / 克劳迪奥·埃尔梅利 / 保拉·布鲁布尼 / 里佐·弗雷多里佐,剧情/喜剧/爱情, 美国, 英语 / 意大利语 / 德语,118分钟,赫本，无与伦比的美丽。
傲慢与偏见,Pride & Prejudice,No.139,2005,8.7,乔·赖特,凯拉·奈特莉 / 马修·麦克费登 / 唐纳德·萨瑟兰 / 布兰达·布莱斯 / 凯瑞·穆里根 / 裴淳华 / 吉娜·马隆 / 妲露拉·莱莉 / 朱迪·丹奇 / 西蒙·伍兹 / 克劳迪·布莱克利 / 汤姆·霍兰德 / 鲁伯特·弗兰德 / 凯利·蕾莉 / 皮普·托伦斯 / 西妮德·马修斯 / 佩内洛普·威尔顿 / 塔姆金·莫钦特,剧情/爱情, 法国 / 英国 / 美国, 英语,129 分钟,这达西先生是痴呆不是傲慢吧……
哪吒闹海, ,No.144,1979,9.1,王树忱 / 严定宪 / 徐景达,梁正晖 / 邱岳峰 / 毕克 / 富润生 / 尚华 / 于鼎,动画/奇幻/冒险, 中国大陆, 汉语普通话,65分钟,个人认为其中哪吒自杀的情节有很重的虐恋色彩，我小时候第一次看到，内心有一种很奇怪的感觉。
我爱你,그대를 사랑합니다,No.241,2011,9.1,秋昌旼,宋在浩 / 李顺载 / 尹秀晶 / 金秀美 / 宋智孝 / 吴达洙,剧情/爱情, 韩国, 韩语,118分钟,你说，如果到人生的尽头，还没找到牵手的人，那咋办啊？
哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,No.79,2011,8.9,大卫·叶茨,丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特 / 海伦娜·伯翰·卡特 / 拉尔夫·费因斯 / 艾伦·瑞克曼 / 玛吉·史密斯 / 汤姆·费尔顿 / 邦妮·怀特 / 朱丽·沃特斯 / 迈克尔·刚本 / 伊文娜·林奇 / 多姆纳尔·格里森 / 克蕾曼丝·波西 / 詹森·艾萨克 / 海伦·麦克洛瑞 / 马修·刘易斯 / 梁佩诗 / 约翰·赫特 / 大卫·休里斯 / 加里·奥德曼 / 吉姆·布劳德本特 / 艾玛·汤普森 / 娜塔丽·特纳 / 蒂莫西·斯波 / 大卫·布拉德利 / 罗彼·考特拉尼 / 凯莉·麦克唐纳 / 塞伦·希德,奇幻/冒险, 美国 / 英国, 英语,130分钟,经历了Pt. 1的铺垫全片只有高潮. 零点首映结束后全场鼓掌很久. 于是余生就再也不会有新的Harry Potter电影了.
背靠背，脸对脸, ,No.229,1994,9.5,黄建新 / 杨亚洲,牛振华 / 雷恪生 / 李强 / 句号 / 王劲松 / 戈治均 / 佘南南 / 张嘉益 / 刘国祥 / 徐学政 / 林海海 / 温谦 / 马载军 / 吴玮玲 / 张艺 / 韩炳杰 / 杨亚洲,剧情, 中国大陆 / 中国香港, 汉语普通话,148分钟,2019-8-4重看；20年前的事业单位百态至今未改丝毫啊！各种勾心斗角、玲珑剔透的人情世故，各种绵延不绝官场丑态尽在小小文化馆中释放。鞠躬尽瘁用尽心思费尽心机，不过为一个正科级头破血流，抵不过背景雄厚的空降兵或上层路线（唯有触碰到道德问题等原则问题才有被扳倒可能），阶层固化使得底层向上流动几乎成为不可能---这点可能是本片最振聋发聩之处；醍醐灌顶之后的老庄哲学留下开放结尾，厚黑学永无尽头。配角们...2019-8-4重看；20年前的事业单位百态至今未改丝毫啊！各种勾心斗角、玲珑剔透的人情世故，各种绵延不绝官场丑态尽在小小文化馆中释放。鞠躬尽瘁用尽心思费尽心机，不过为一个正科级头破血流，抵不过背景雄厚的空降兵或上层路线（唯有触碰到道德问题等原则问题才有被扳倒可能），阶层固化使得底层向上流动几乎成为不可能---这点可能是本片最振聋发聩之处；醍醐灌顶之后的老庄哲学留下开放结尾，厚黑学永无尽头。配角们大有深意，人人都有一把小算盘，唯有浸淫于官场语境方能参破其中奥妙。剧本大赞，演员极好（牛振华演技绝了），剪辑棒，好看极了！()
